"date","home.team","away.team","home.score","away.score"
2011-09-17,"Sevilla","Sociedad",1,0
2011-09-17,"Sp Gijon","Valencia",0,1
2011-09-18,"Ath Bilbao","Betis",2,3
2011-09-18,"Ath Madrid","Santander",4,0
2011-09-18,"Getafe","Vallecano",0,1
2011-09-18,"Levante","Real Madrid",1,0
2011-09-18,"Zaragoza","Espanol",2,1
2011-09-20,"Osasuna","Sevilla",0,0
2011-09-20,"Sociedad","Granada",1,0
2011-09-20,"Villarreal","Mallorca",2,0
2011-09-21,"Ath Madrid","Sp Gijon",4,0
2011-09-21,"Malaga","Ath Bilbao",1,0
2011-09-21,"Santander","Real Madrid",0,0
2011-09-21,"Valencia","Barcelona",2,2
2011-09-21,"Vallecano","Levante",1,2
2011-09-22,"Betis","Zaragoza",4,3
2011-09-22,"Espanol","Getafe",1,0
2011-09-24,"Ath Bilbao","Villarreal",1,1
2011-09-24,"Barcelona","Ath Madrid",5,0
2011-09-24,"Real Madrid","Vallecano",6,2
2011-09-24,"Sevilla","Valencia",1,0
2011-09-25,"Granada","Osasuna",1,1
2011-09-25,"Levante","Espanol",3,1
2011-09-25,"Mallorca","Sociedad",2,1
2011-09-25,"Sp Gijon","Santander",0,0
2011-09-25,"Zaragoza","Malaga",0,0
2011-09-26,"Getafe","Betis",1,0
2011-10-01,"Malaga","Getafe",3,2
2011-10-01,"Osasuna","Mallorca",2,2
2011-10-01,"Santander","Vallecano",1,1
2011-10-01,"Valencia","Granada",1,0
2011-10-01,"Villarreal","Zaragoza",2,2
2011-10-02,"Ath Madrid","Sevilla",0,0
2011-10-02,"Betis","Levante",0,1
2011-10-02,"Espanol","Real Madrid",0,4
2011-10-02,"Sociedad","Ath Bilbao",1,2
2011-10-02,"Sp Gijon","Barcelona",0,1
2011-10-15,"Barcelona","Santander",3,0
2011-10-15,"Getafe","Villarreal",0,0
2011-10-15,"Granada","Ath Madrid",0,0
2011-10-15,"Mallorca","Valencia",1,1
2011-10-15,"Real Madrid","Betis",4,1
2011-10-16,"Levante","Malaga",3,0
2011-10-16,"Sevilla","Sp Gijon",2,1
2011-10-16,"Vallecano","Espanol",0,1
2011-10-16,"Zaragoza","Sociedad",2,0
2011-10-17,"Ath Bilbao","Osasuna",3,1
2011-10-22,"Barcelona","Sevilla",0,0
2011-10-22,"Malaga","Real Madrid",0,4
2011-10-22,"Santander","Espanol",0,1
2011-10-22,"Sp Gijon","Granada",2,0
2011-10-23,"Ath Madrid","Mallorca",1,1
2011-10-23,"Betis","Vallecano",0,2
2011-10-23,"Osasuna","Zaragoza",3,0
2011-10-23,"Sociedad","Getafe",0,0
2011-10-23,"Valencia","Ath Bilbao",1,1
2011-10-23,"Villarreal","Levante",0,3
2011-10-25,"Granada","Barcelona",0,1
2011-10-25,"Sevilla","Santander",2,2
2011-10-26,"Getafe","Osasuna",2,2
2011-10-26,"Levante","Sociedad",3,2
2011-10-26,"Mallorca","Sp Gijon",1,2
2011-10-26,"Real Madrid","Villarreal",3,0
2011-10-26,"Vallecano","Malaga",2,0
2011-10-26,"Zaragoza","Valencia",0,1
2011-10-27,"Ath Bilbao","Ath Madrid",3,0
2011-10-27,"Espanol","Betis",1,0
2011-10-29,"Barcelona","Mallorca",5,0
2011-10-29,"Sociedad","Real Madrid",0,1
2011-10-29,"Valencia","Getafe",3,1
2011-10-29,"Villarreal","Vallecano",2,0
2011-10-30,"Ath Madrid","Zaragoza",3,1
2011-10-30,"Malaga","Espanol",2,1
2011-10-30,"Osasuna","Levante",2,0
2011-10-30,"Santander","Betis",1,0
2011-10-30,"Sp Gijon","Ath Bilbao",1,1
2011-10-31,"Sevilla","Granada",1,2
2011-11-05,"Betis","Malaga",0,0
2011-11-05,"Levante","Valencia",0,2
2011-11-05,"Mallorca","Sevilla",0,0
2011-11-06,"Ath Bilbao","Barcelona",2,2
2011-11-06,"Espanol","Villarreal",0,0
2011-11-06,"Getafe","Ath Madrid",3,2
2011-11-06,"Granada","Santander",0,0
2011-11-06,"Real Madrid","Osasuna",7,1
2011-11-06,"Vallecano","Sociedad",4,0
2011-11-06,"Zaragoza","Sp Gijon",2,2
2011-11-19,"Barcelona","Zaragoza",4,0
2011-11-19,"Valencia","Real Madrid",2,3
2011-11-19,"Villarreal","Betis",1,0
2011-11-20,"Ath Madrid","Levante",3,2
2011-11-20,"Osasuna","Vallecano",0,0
2011-11-20,"Sevilla","Ath Bilbao",1,2
